2022-08-11 09:30:08,093| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/accessTokenManagers| 201 
2022-08-11 09:30:08,155| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/accessTokenManagers| 201 
2022-08-11 09:30:08,265| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/resourceOwnerCredentialsMappings| 201 
2022-08-11 09:30:08,382| Administrator| Basic| 127.0.0.1| unknown| POST| /idp/adapters| 201 
2022-08-11 09:30:08,435| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/idpAdapterMappings| 201 
2022-08-11 09:30:08,524| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/openIdConnect/policies| 201 
2022-08-11 09:30:08,704| Administrator| Basic| 127.0.0.1| unknown| POST| /idp/tokenProcessors| 201 
2022-08-11 09:30:08,704| Administrator| Basic| 127.0.0.1| unknown| POST| /idp/tokenProcessors| 201 
2022-08-11 09:30:08,740| Administrator| Basic| 127.0.0.1| unknown| GET| /keyPairs/signing| 200 
2022-08-11 09:30:08,789| Administrator| Basic| 127.0.0.1| unknown| GET| /keyPairs/signing/47spmne756g7u1ofvaupk47kx/certificate| 200 
2022-08-11 09:30:09,681| Administrator| Basic| 127.0.0.1| unknown| POST| /idp/spConnections| 201 
2022-08-11 09:30:09,834| Administrator| Basic| 127.0.0.1| unknown| POST| /sp/idpConnections| 201 
2022-08-11 09:30:09,872| Administrator| Basic| 127.0.0.1| unknown| GET| /version| 200 
2022-08-11 09:30:10,015| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,029| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,040| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,069| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,080| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,129| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,161| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,171| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,221| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,233| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,242| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,251| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/clients| 201 
2022-08-11 09:30:10,316| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/tokenExchange/processor/policies| 201 
2022-08-11 09:30:10,343| Administrator| Basic| 127.0.0.1| unknown| GET| /version| 200 
2022-08-11 09:30:10,416| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/accessTokenMappings| 201 
2022-08-11 09:30:10,431| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/accessTokenMappings| 201 
2022-08-11 09:30:10,432| Administrator| Basic| 127.0.0.1| unknown| POST| /oauth/accessTokenMappings| 201 
2022-08-11 09:30:10,459| Administrator| Basic| 127.0.0.1| unknown| POST| /cluster/replicate| 403 
2022-08-11 09:30:10,507| Administrator| Basic| 127.0.0.1| unknown| GET| /serverSettings| 200 
2022-08-11 09:33:58,596| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
