2022-08-11 09:47:07,904| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 6 
2022-08-11 09:49:08,608| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:49:08,611| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 10:01:15,236| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 25 
2022-08-11 10:01:15,239| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 28 
2022-08-11 10:07:10,457| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 10:07:10,460| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 10:13:48,938| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 10:13:48,941| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| joe| 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| failure| | Unauthorized Client| 3 
2022-08-11 10:16:58,574| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| | | 127.0.0.1 | | | | marinoduran-r.attlocal.net| AS| failure| | Invalid Client| 1 
2022-08-11 10:19:50,779| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 10:19:50,782| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 10:20:24,252| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 10:20:24,255| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 3 
2022-08-11 10:23:20,574| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 10:23:20,577| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 10:23:57,263| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 10:23:57,266| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 10:26:14,927| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 26 
2022-08-11 10:26:14,930| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 29 
2022-08-11 10:27:05,215| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 10:27:05,216| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| failure| | Invalid Request| 1 
2022-08-11 10:30:11,478| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
